domain,has_cert,longetivity,valid_cert,extended_validation,cert_age,multi_mtn,Predicted Results,Actual Results
paypal.service.intl-uk-webapps.com,1,90,1,0,0,0,phish,phish
www.koopmkm.com.my,1,90,1,0,57,0,phish,phish
www.siegfriedgroup.com,1,90,1,0,2,0,phish,alexa
www.manaveeyamnews.com,1,90,1,0,56,0,phish,phish
zipmovies.ml,1,90,1,0,0,0,phish,phish
wepfaecbook.000webhostapp.com,1,1095,1,0,535,0,phish,phish
weddestinations.com,1,90,1,0,44,0,phish,phish
amazon-de-verifizierungsprozess-493542.informationsafetypanel.pw,1,190,1,0,1,1,phish,phish
web.telecredibcp.com,1,90,1,0,2,0,phish,phish
ultrafix.in,1,90,1,0,52,0,phish,phish
adobe-onlinereader-file-inpdf-pdf.000webhostapp.com,1,1095,1,0,540,0,phish,phish
www.ecoshadedubai.com,1,90,1,0,26,0,phish,phish
myaccount-payapl-sercice-centre-verriification.000webhostapp.com,1,1095,1,0,541,0,phish,phish
info70i55869k1110i.000webhostapp.com,1,1095,1,0,540,0,phish,phish
sanslimitesn.com,1,90,1,0,0,0,phish,alexa
deepdreamgenerator.com,1,90,1,0,1,0,phish,alexa
warning-fb.000webhostapp.com,1,1095,1,0,536,0,phish,phish
www.havingfunsaving.com,1,90,1,0,46,0,phish,alexa
dolbysound.com,1,90,1,0,51,0,phish,phish
araen.learntofree.com,1,90,1,0,26,0,phish,phish
www.samuraiparts.com,1,90,1,0,25,0,phish,phish
app-1511487479.000webhostapp.com,1,1095,1,0,540,0,phish,phish
help-recoverycenter5654.000webhostapp.com,1,1095,1,0,542,0,phish,phish
www2.wellsfargo.com.gynhorn.com,1,90,1,0,2,0,phish,phish
autobinaryoptionsignals.com,1,90,1,0,4,0,phish,phish
danielfurer18.000webhostapp.com,1,1095,1,0,476,0,phish,phish
www.psiphonhealthyliving.bid,1,190,1,0,0,1,phish,phish
support.account.information.jaliscoradiopalabradevida.com,1,90,1,0,1,0,phish,phish
summaryinformationsupportreviewcenter.veriviwadwa.com,1,90,1,0,0,0,phish,phish
support.itunes.icloud.appleid.com-login-unathorized.center,1,90,1,0,1,0,phish,phish
sewaknepal.org,1,90,1,0,42,0,phish,phish
goldenkeymed.cn,1,90,1,0,76,0,phish,phish
www.telimatrimony.org,1,90,1,0,62,0,phish,phish
safety-2017.000webhostapp.com,1,1095,1,0,535,0,phish,phish
bozkirilleridergisi.com,1,90,1,0,63,0,phish,phish
rozliczeniedp.pl,1,190,1,0,0,1,phish,phish
id34786486534.rozliczeniedp.pl,1,190,1,0,0,1,phish,phish
spindly-threads.000webhostapp.com,1,1095,1,0,533,0,phish,phish
thptluunhanchu.com,1,90,1,0,4,0,phish,phish
jugosbolivianos.com.bo,1,90,1,0,79,0,phish,phish
0boticario.gq,1,190,1,0,2,1,phish,phish
bors.cf,1,90,1,0,2,0,phish,phish
jasonspeith007.000webhostapp.com,1,1095,1,0,477,0,phish,phish
info12247000gf0017.000webhostapp.com,1,1095,1,0,534,0,phish,phish
www.giantant.ca,1,90,1,0,1,0,phish,alexa
www.nfgcolombia.com,1,90,1,0,1,0,phish,phish
justfreethemes.com,1,1095,1,0,387,0,phish,alexa
mjremastered.weebly.com,1,1186,1,0,475,0,phish,alexa
theabstractprincess.com,1,90,1,0,43,0,phish,phish
danielcrug36.000webhostapp.com,1,1095,1,0,479,0,phish,phish
paywhatyougot.com.ng,1,90,1,0,26,0,phish,phish
webapps-myaccounts-updated-information.qyuntal.com,1,90,1,0,0,0,phish,phish
accesrail.com,1,90,1,0,74,0,phish,alexa
realplayz.com,1,1096,1,1,443,0,phish,alexa
stringsadvertising.com,1,90,1,0,59,0,phish,phish
tvgry.pl,1,365,1,0,138,0,phish,alexa
www.qhhtofficial.com,1,90,1,0,4,0,phish,alexa
redinkacc.co.za,1,90,1,0,34,0,phish,phish
www.aportacionesfiscales.com,1,90,1,0,32,0,phish,alexa
opertullons3321.000webhostapp.com,1,1095,1,0,536,0,phish,phish
multilinear-lapses.000webhostapp.com,1,1095,1,0,541,0,phish,phish
mailaccessowaes.weebly.com,1,1186,1,0,471,0,phish,phish
cliamhng5653.000webhostapp.com,1,1095,1,0,535,0,phish,phish
sakau3242.000webhostapp.com,1,1095,1,0,486,0,phish,phish
www.mathportal.org,1,365,1,0,22,0,phish,alexa
altusairflow.com,1,90,1,0,1,0,phish,phish
www.dateveilig.com,1,90,1,0,45,0,phish,phish
businessbattle.tk,1,90,1,0,1,0,phish,phish
airlive.net,1,90,1,0,1,0,phish,alexa
uporabi.net,1,90,1,0,49,0,phish,alexa
neighborly-depots.000webhostapp.com,1,1095,1,0,533,0,phish,phish
www.fundtry.com,1,90,1,0,49,0,phish,phish
www.account-security-system.cf,1,90,1,0,0,0,phish,phish
watch2sports.com,1,90,1,0,30,0,phish,phish
alandalus-iraq.com,1,90,1,0,54,0,phish,phish
resolve-your-account-problems.tubefive.com,1,90,1,0,1,0,phish,phish
service-startingnow.000webhostapp.com,1,1095,1,0,476,0,phish,phish
blportal.rapidns.com,1,90,1,0,53,0,phish,phish
danielcrug33.000webhostapp.com,1,1095,1,0,477,0,phish,phish
credi.tssuise.com,1,90,1,0,1,0,phish,phish
chicleras.com.mx,1,90,1,0,46,0,phish,phish
bikerbee.co.in,1,90,1,0,64,0,phish,phish
policy25.000webhostapp.com,1,1095,1,0,535,0,phish,phish
85636.000webhostapp.com,1,1095,1,0,533,0,phish,phish
raeshaavfga53.000webhostapp.com,1,1095,1,0,475,0,phish,phish
digitaler-mittelstand.de,1,90,1,0,25,0,phish,alexa
info23fb6617700.000webhostapp.com,1,1095,1,0,476,0,phish,phish
goodlayers.com,1,90,1,0,61,0,phish,alexa
unncedproject.com.ng,1,90,1,0,78,0,phish,phish
watalappan.com,1,90,1,0,55,0,phish,phish
joyfmkidapawan.com,1,90,1,0,60,0,phish,phish
atualizacaoapp.000webhostapp.com,1,1095,1,0,536,0,phish,phish
bungateratai.com,1,90,1,0,0,0,phish,phish
1kxun.mobi,1,365,1,0,200,0,phish,alexa
elevplads.dk,1,90,1,0,1,0,phish,alexa
socialmediadealing.com,1,90,1,0,60,0,phish,phish
www.ijert.org,1,90,1,0,63,0,phish,alexa
id115562523cit.rozliczeniedp.pl,1,190,1,0,0,1,phish,phish
www.seekingmilf.com,1,90,1,0,2,0,phish,alexa
sites.google.com,1,83,1,0,8,1,phish,phish
medgicnet.com,1,90,1,0,4,0,phish,alexa
protection1210.000webhostapp.com,1,1095,1,0,477,0,phish,phish
www.feriadebuga.com,1,90,1,0,67,0,phish,phish
traffichurricane.plus,1,90,1,0,1,0,phish,alexa
oberlinreview.org,1,90,1,0,65,0,phish,alexa
ulviconstructions.com,1,90,1,0,51,0,phish,phish
smartmania.cz,1,90,1,0,0,0,phish,alexa
keira.drinmol.com,1,90,1,0,1,0,phish,phish
woyongantou2212.000webhostapp.com,1,1095,1,0,486,0,phish,phish
info98fbg776112.000webhostapp.com,1,1095,1,0,475,0,phish,phish
sites.google.com,1,84,1,0,18,1,phish,phish
jnkindia.com,1,90,1,0,71,0,phish,phish
4433000.000webhostapp.com,1,1095,1,0,476,0,phish,phish
emmhc.or.tz,1,90,1,0,34,0,phish,phish
www.bayern-evangelisch.de,1,1095,1,0,488,0,phish,alexa
filmoremerano.000webhostapp.com,1,1095,1,0,533,0,phish,phish
www.frontpagemixtapes.com,1,90,1,0,16,0,phish,phish
goo.gl,1,83,1,0,15,1,phish,phish
38779273883827.000webhostapp.com,1,1095,1,0,536,0,phish,phish
themasterslive.com,1,90,1,0,16,0,phish,phish
ursula12.000webhostapp.com,1,1095,1,0,476,0,phish,phish
unbloking121.000webhostapp.com,1,1095,1,0,533,0,phish,phish
epekgodang.000webhostapp.com,1,1095,1,0,490,0,phish,phish
jotlad.co.za,1,90,1,0,69,0,phish,phish
compileglobe.com,1,90,1,0,55,0,phish,phish
netmaxtech.com,1,90,1,0,75,0,phish,alexa
clunbloking14.000webhostapp.com,1,1095,1,0,533,0,phish,phish
ericapierce.com,1,90,1,0,35,0,phish,phish
www.p30template.com,1,1095,1,0,491,0,phish,alexa
allegro-journey.000webhostapp.com,1,1095,1,0,533,0,phish,phish
arthurbrook.co.uk,1,90,1,0,46,0,phish,phish
www.nonseptic.com,1,90,1,0,28,0,phish,alexa
kishorepradhan.com,1,90,1,0,45,0,phish,phish
officedrive.000webhostapp.com,1,1095,1,0,536,0,phish,phish
www.beachclubresorts.co.uk,1,90,1,0,42,0,phish,phish
gehadmahmoud.000webhostapp.com,1,1095,1,0,533,0,phish,phish
handybg.loan,1,190,1,0,2,1,phish,phish
oshbougschool.com,1,90,1,0,74,0,phish,phish
cobblertailorshoerepair.com,1,90,1,0,57,0,phish,phish
supernovaerror.000webhostapp.com,1,1095,1,0,532,0,phish,phish
hotelpousadakaster.com.br,1,90,1,0,75,0,phish,phish
admission-policy-officer-fb.gq,1,90,1,0,1,0,phish,phish
f8dsf76d6fds6fdsf8sdf7s8df687sdf76867f67.000webhostapp.com,1,1095,1,0,533,0,phish,phish
www.theabstractprincess.com,1,90,1,0,43,0,phish,phish
