site,scrap_time,path,has_html,inline_count,external_count,onclick_count,onload_count,onchange_count,avg_inline_script_block,avg_external_script_block,avg_onclick_count,avg_onload_count,avg_onchange_count,avg_cyc_complexity,library_code_count,Predicted Results,Actual Results
vbmotor.com,2017-11-23 10-45-28,C:\Phishing Project\phishtank - november 2017\content\44d\vbmotor.com\2017-11-23 10-45-28,1,5.0,3.0,1,0.0,0.0,0.0,20.0,76,0,2,1.0,2,phish,phish
www.cdaidcomputerrepair.com,2017-09-25 03-45-02,C:\Phishing Project\phishtank - september 2017\content\a8e\www.cdaidcomputerrepair.com\2017-09-25 03-45-02,1,0.0,0.0,1,0.0,0.0,0.0,0.0,0,0,0,0.0,0,phish,phish
mg-versicherungsmakler.de,2017-09-20 07-51-36,C:\Phishing Project\phishtank - september 2017\content\d96\mg-versicherungsmakler.de\2017-09-20 07-51-36,1,6.0,0.0,1,1.0,0.0,0.0,0.0,0,0,0,0.0,0,phish,phish
reviewnic.com,2017-11-23 11-14-01,C:\Phishing Project\phishtank - november 2017\content\8f9\reviewnic.com\2017-11-23 11-14-01,1,1.0,7.5,2,0.0,0.0,0.0,56.9,1893,5,10,0.3,3,phish,phish
designing.world,2017-09-20 07-53-35,C:\Phishing Project\phishtank - september 2017\content\047\designing.world\2017-09-20 07-53-35,1,1.0,1.0,1,0.0,0.0,0.0,0.0,0,1,0,0.0,0,phish,phish
toyotaclubserbia.com,2017-09-20 08-47-28,C:\Phishing Project\phishtank - september 2017\content\f8b\toyotaclubserbia.com\2017-09-20 08-47-28,1,1.0,0.0,1,1.0,0.0,0.0,0.0,0,0,0,0.0,0,phish,phish
twitter.com,2017-09-22 08-54-02,C:\Phishing Project\phishtank - september 2017\content\879\twitter.com\2017-09-22 08-54-02,1,0.0,1.0,1,0.0,0.0,0.0,1735.0,3705,0,1,1.0,1,phish,phish
www.fortwayneweb.biz,2017-10-01 07-55-13,C:\Phishing Project\phishtank - october 2017\content\833\www.fortwayneweb.biz\2017-10-01 07-55-13,1,2.0,0.0,1,0.0,0.0,0.0,0.0,0,0,0,0.0,0,phish,phish
hospitaldelacolumnavertebral.com,2017-11-20 09-44-09,C:\Phishing Project\phishtank - november 2017\content\151\hospitaldelacolumnavertebral.com\2017-11-20 09-44-09,1,5.0,3.0,1,0.0,0.0,0.0,20.0,76,0,2,1.0,2,phish,phish
math2.org,2017-11-20 09-38-26,C:\target site - 20K alexa\content\47a\math2.org\2017-11-20 09-38-26,1,0.0,0.0,1,1.0,0.0,0.0,0.0,0,0,0,0.0,0,phish,alexa
www.sedationbydrmashoof.com,2017-09-23 01-09-06,C:\Phishing Project\phishtank - september 2017\content\b4d\www.sedationbydrmashoof.com\2017-09-23 01-09-06,1,0.0,0.0,1,0.0,0.0,0.0,0.0,0,0,0,0.0,0,phish,phish
aircrack-ng.org,2017-11-20 07-52-26,C:\target site - 20K alexa\content\e8c\aircrack-ng.org\2017-11-20 07-52-26,1,0.0,0.0,1,0.0,0.0,0.0,0.0,0,0,0,0.0,0,phish,alexa
cyber-atelier.at,2017-11-21 03-17-22,C:\target site - 20K alexa\content\83b\cyber-atelier.at\2017-11-21 03-17-22,1,3.0,0.0,2,0.0,0.0,0.0,0.0,0,0,0,0.0,0,phish,alexa
rashakassir.com,2017-09-21 11-02-40,C:\Phishing Project\phishtank - september 2017\content\b3a\rashakassir.com\2017-09-21 11-02-40,1,1.0,0.0,1,0.0,0.0,0.0,0.0,0,0,0,0.0,0,phish,phish
noreplyidornge9652.myfreesites.net,2017-09-22 08-19-00,C:\Phishing Project\phishtank - september 2017\content\f3c\noreplyidornge9652.myfreesites.net\2017-09-22 08-19-00,1,6.0,5.0,2,0.0,0.0,0.0,0.0,5946,2,3,1.0,3,phish,phish
mlbrownlaw.com,2017-10-05 01-44-23,C:\Phishing Project\phishtank - october 2017\content\d41\mlbrownlaw.com\2017-10-05 01-44-23,1,0.0,1.0,1,0.0,0.0,0.0,0.0,0,0,0,0.0,0,phish,phish
updateinfo.skrmd.wvmkzxqnp6vvnp9yk.com,2017-11-20 09-54-02,C:\Phishing Project\phishtank - november 2017\content\ab4\updateinfo.skrmd.wvmkzxqnp6vvnp9yk.com\2017-11-20 09-54-02,1,15.0,4.5,2,1.0,2.0,0.0,658.3333332999999,8922,1,3,1.0,3,phish,phish
visaexperts.pk,2017-11-17 09-44-18,C:\Phishing Project\phishtank - november 2017\content\418\visaexperts.pk\2017-11-17 09-44-18,1,5.0,3.0,1,1.0,0.0,0.0,1516.5,6252,0,2,0.5,1,phish,phish
bankbooks.in,2017-12-03 07-02-50,C:\target site - 20K alexa\content\f5d\bankbooks.in\2017-12-03 07-02-50,1,0.0,0.0,1,0.0,0.0,0.0,0.0,0,0,0,0.0,0,phish,alexa
supprot-info-acounts.ml,2017-11-15 06-34-06,C:\Phishing Project\phishtank - november 2017\content\526\supprot-info-acounts.ml\2017-11-15 06-34-06,1,2.0,1.0,1,0.0,0.0,0.0,181.0,426,0,1,1.0,1,phish,phish
595-344-853.fe03g908gk1xd5ayve9m.h8mcvlpszckt.net.ve,2017-11-21 02-34-00,C:\Phishing Project\phishtank - november 2017\content\83a\595-344-853.fe03g908gk1xd5ayve9m.h8mcvlpszckt.net.ve\2017-11-21 02-34-00,1,0.0,0.0,1,1.0,0.0,0.0,0.0,0,0,0,0.0,0,phish,phish
